Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Biochemistry,32,37,18,42,18,17,25
Biology,27,33,27,59,31,32,18
Chemistry,5,5,4,6,3,3,3
Computer Science,6,5,3,14,11,13,6
Dual-Major,5,22,11,15,12,5,5
Human Development & Family Sciences,1,3,1,6,7,2,3
Mathematics,3,7,7,9,5,7,2
Medical Laboratory Science,1,1,2,2,1,1,0
Neuroscience,18,23,19,30,17,15,18
Nutritional Sciences,1,1,0,5,2,1,0
Physics,1,2,0,4,4,5,1
Public Health,8,11,5,21,14,7,12
Textiles & Apparel,1,0,0,2,1,0,0
